product_type,product_name,product_desc,product_price,product_brand,product_model,product_keyboardtype,product_numpad,product_layout,product_mech,product_prog,product_media,product_connection,product_dimensions,product_light
Toetsenborden QWERTY,"Logitech K270 Draadloos Toetsenbord QWERTY","Met de Logitech K270 Draadloos Toetsenbord heb je tot wel 10 meter bereik, dankzij de usb nano ontvanger. Hierdoor heb je geen warboel van draden meer. Het toetsenbord heeft een compact en vlak design en toetsen van normaal formaat. De MK270 is Plug & Play, dus zonder installatie te gebruiken op elke desktop en laptop. De 8 sneltoetsen bieden je snelle en directe toegang tot muziek, e-mail en andere programma's waardoor je vlotter werkt. Het toetsenbord is morsbestendig, dus maak je geen zorgen als je een drankje omstoot.","29,99","Logitech","920-003736","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Draadloos","47 cm x 16 cm x 2 cm","Nee"
Toetsenborden QWERTY,"Apple Magic Keyboard met numeriek toetsenblok QWERTY","Met het vernieuwde Apple Magic Keyboard met numeriek toetsenblok werk je draadloos en in stijl op jouw Mac. Deze editie van de Magic Keyboard is namelijk volledig draadloos. Sluit het toetsenbord eenmalig aan via de meegeleverde laadkabel en je Mac is meteen via bluetooth gekoppeld. Zo heb je geen last van kabels en typ je comfortabel lange teksten op de stabiele scissor switch chiclet toetsen. Je muziek en andere multimedia bedien eenvoudig je via de sneltoetsen. De accu van dit Magic Keyboard gaat op een volle lading ongeveer een maand mee. Dit draadloze Apple toetsenbord is ongeveer 1 cm hoog en is daarmee ook nog eenvoudig op te bergen wanneer je hem niet gebruikt.","149,-","Apple","MQ052N/A","Number pad, Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Ja","Draadloos","41,87 cm x 11,49 cm x 1,09 cm","Nee"
Toetsenborden QWERTY,"Apple Magic Keyboard QWERTY","Met de Apple Magic Keyboard werk je nog sneller en nauwkeuriger door je dagelijkse bezigheden. Dankzij het nieuwe schaarmechanisme voelen toetsaanslagen comfortabel en maak je minder snel tikfouten. De Magic Keyboard maakt via Bluetooth draadloos verbinding met je Mac of pc. En maak je geen zorgen over de baterijduur. Op een volledige lading werkt het toetsenbord minimaal een maand - zonder tussentijds opladen.","119,-","Apple","MLA22N/A","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","27,9 cm x 11,49 cm x 0,41 cm","Nee"
Toetsenborden QWERTY,"Logitech K375s Toetsenbord QWERTY","Met de Logitech K375s Toetsenbord typ je een rapport op je computer en schakel je met 1 druk op de knop over naar een bericht op je telefoon of tablet. Hierdoor typ je met een standaard toetsenbord op devices met een klein scherm. Je tablet of smartphone stop je in de meegeleverde houder en maak verbinding met het toetsenbord via bluetooth. De houder is zo ontworpen dat je de start toets van je telefoon of tablet nog kan gebruiken. En dankzij de rubberen anti slip constructie blijft het scherm stevig in de houder staan en heb je geen last van een bewegend scherm. Het toetsenbord is draadloos dankzij de unifying usb ontvanger en heeft een bereik tot 10 meter.","43,99","Logitech","920-008181","Toetsenbord","Ja","QWERTY UK layout","Nee","Ja","Ja","Draadloos","43,5 cm x 20 cm x 1,4 cm","Nee"
Toetsenborden QWERTY,"Logitech Craft Advanced Toetsenbord QWERTY","Met het strak ogende Logitech Craft Advanced Toetsenbord werk je eenvoudig met complexe programma's. De touch gevoelige draaiknop gebruik je voor meer controel of jouw favoriete creatieve tools. Raak de draaiknop aan om een functiemenu te openen en draai om de waarde van de geselecteerde functie te wijzigen. Zo heeft de draaiknop steeds contextueel een andere functie, afhankelijk van welke app of software je gebruikt. Zodra je handen in de buurt van het toetsenbord komen lichten de toetsen op. Afhankelijk van hoe verlicht de omgeving is, zijn de toetsen feller of juist iets lichter verlicht. Zo verspilt de Kraft geen batterijvermogen en heb je altijd genoeg achtergrondverlichting om comfortabel te typen.","199,-","Logitech","920-008504","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Draadloos","14,882 cm x 43,03 cm x 3,21 cm","Ja"
Toetsenborden QWERTY,"Logitech K120 Toetsenbord QWERTY","Met het Logitech K120 toetsenbord typ je comfortabel en geruisloos. De toetsen zijn vlak en maken nauwelijks geluid. Zo stoor je niemand wanneer je fanatiek aan het tikken bent. Dankzij het morsbestendig ontwerp is het geen ramp als je per ongeluk de inhoud van je kopje over je toetsenbord stoot. De uitklapbare pootjes zorgen ervoor dat het toetsenbord in een hoek van 8 graden staat, waardoor je handen in een comfortabelere positie op het bord rusten. Je sluit het toetsenbord eenvoudig aan op je desktop, laptop of netbook via de usb-poort.","26,99","Logitech","920-002479","Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Ja","Bedraad","45 cm x 15,5 cm x 2,4 cm","Nee"
Toetsenborden QWERTY,"Trust Classicline Bedraad Toetsenbord en Muis QWERTY","Met de Trust Classicline Bedraad Toetsenbord en Muis Qwerty typ je geruisloos en gemakkelijk. Het toetsenbord het een cijferblok waardoor je eenvoudig met cijfers werkt. En de optische muis is zowel door links- als rechtshandigen te gebruiken. Je verbindt het toetsenbord en de muis met je laptop of computer door middel van een usb aansluiting.","22,99","Trust","21392","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Nee","Bedraad","43,5 cm x 14,5 cm x 2,5 cm","Nee"
Toetsenborden QWERTY,"Logitech K400 Plus Wireless Touch Zwart QWERTY","Sluit je laptop aan op de televisie en bedien deze vanaf de bank met de Logitech K400 Plus Wireless Touch. Dit toetsenbord beschikt over een geïntegreerd touchpad, zodat je ook geen muis meer nodig hebt. Via de multimedia toetsen zet je een film eenvoudig op pause of pas je het volume aan. Je sluit dit model aan via de nano usb connector en gaat meteen aan de slag.","44,99","Logitech","920-007145","Touchpad, Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","35,43 cm x 2,35 cm x 13,99 cm","Nee"
Toetsenborden QWERTY,"Trust Classic Line Toetsenbord QWERTY","De Trust Classic Line is een degelijk en eenvoudig toetsenbord, waarmee je geruisloos en comfortabel typt. Verder is het toetsenbord morsbestendig, waardoor het geen grote gevolgen heeft als je per ongeluk je drankje over het toetsenbord morst.","22,99","Trust","20517","Stand, Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Nee","Bedraad","46 cm x 17 cm x 3,2 cm","Nee"
Toetsenborden QWERTY,"Logitech K740 Verlicht Toetsenbord QWERTY","Met het Logitech K740 Verlichte Toetsenbord typ je comfortabel en geruisloos. De toetsen zijn vlak en maken nauwelijks geluid. Zo stoor je niemand wanneer je fanatiek aan het tikken bent. Daarnaast werk je dankzij de instelbare verlichting tot diep in de nacht door. Je sluit het toetsenbord eenvoudig aan op je desktop, laptop of netbook via de usb-poort.","62,99","Logitech","920-005696","Number pad, Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Ja","Bedraad","45,6 cm x 19 cm x 0,9 cm","Ja"
Toetsenborden QWERTY,"Logitech K360 Draadloos Toetsenbord QWERTY","De Logitech K360 Draadloos Toetsenbord Qwerty is een compact toetsenbord met vlakke toetsen. Het toetsenbord beschikt over 6 multimedia-toetsen en 12 programmeerbare F-knoppen die je zelf een functie geeft. De USB-ontvanger is voorzien van de Logitech Unifying-technologie. Maximaal 6 Logitech-producten kunnen worden gekoppeld aan de Unifying-ontvanger. Er wordt dus maar één USB-poort in gebruik genomen. De USB-ontvanger is zo klein dat deze nauwelijks uit de USB-poort steekt.","44,99","Logitech","920-003080","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Draadloos","38,06 cm x 15,56 cm x 1,93 cm","Nee"
Toetsenborden QWERTY,"Logitech K800 Illuminated Draadloos Toetsenbord QWERTY","Het Logitech K800 Draadloos Illuminated Toetsenbord valt meteen op door het strakke design. De Logitech K800 is ontwikkeld met het PerfectStroke-toetsensysteem. Dit verdeelt de typekracht gelijkmatig over het oppervlak van de toets. Hierdoor is het toetsenbord een stuk stiller en comfortabeler. Een verlicht toetsenbord in het donker oogt niet alleen fraai maar is ook erg handig. Sensors reageren op je handen en schakelen hiermee de verlichting aan of uit. Met een druk op de knop is dit ook handmatig naar wens aan te passen. De usb-ontvanger is voorzien van de Logitech Unifying-technologie. Maximaal 7 Logitech-producten kunnen worden gekoppeld aan de Unifying-ontvanger. Er wordt dus maar één usb-poort in gebruik genomen. De usb-ontvanger is zo klein dat deze nauwelijk uit de usb-poort steekt. Je hoeft je dan ook geen zorgen meer te maken dat deze beschadigt of zoek raakt.","99,99","Logitech","920-002380","Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Ja","Draadloos","47 cm x 19,5 cm x 2,7 cm","Ja"
Toetsenborden QWERTY,"R-Go-Tools Ergo Compact Toetsenbord QWERTY","Het R-Go-Tools Ergo Compact Toetsenbord is een compact, ergonomisch toetsenbord. Wanneer je het toetsenbord en een muis gebruikt blijven de handen altijd binnen schouderbreedte. Dit geeft de schouder en elleboog een natuurlijke, ontspannen houding en voorkomt overbelastingsklachten zoals RSI. Daarnaast is het toetsenbord dun en dit zorgt voor een lichte aanslag. Dit zorgt weer voor een platte stand van de polsen en minder spierspanning. Het toetsenbord is compact en neem je dus makkelijk mee in je tas.","49,99","R-Go Tools","RGOECQYW","Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Nee","Bedraad","12 cm x 28,5 cm x 1,5 cm","Nee"
Toetsenborden QWERTY,"Microsoft Surface Keyboard SC Bluetooth Grijs","De Microsoft Surface Keyboard SC Bluetooth Grijs gebruik je samen met jouw Surface Book en Surface Pro. Het toetsenbord beschikt over bluetooth smart technologie waardoor je geen ontvanger nodig hebt om verbinding te maken met jouw Surface Book of Surface Pro. De bovenkant van het toetsenbord bestaat uit aluminium en blijft daardoor stevig staan tijdens het typen. Daarnaast is het toetsenbord compact en neem je hem makkelijk mee in je tas. En dankzij de vlakke toetsen, maak je geen herrie wanneer je een lange mail of een verslag typt.","109,99","Microsoft","WS2-00007","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Nee","Draadloos","42,09 cm x 11,26 cm x 1,93 cm","Nee"
Toetsenborden QWERTY,"Microsoft Natural Ergonomic Keyboard 4000 Qwerty","Werk prettiger, sneller en ergonomischer met het Microsoft Natural Ergonomic Keyboard 4000. Met een uitgekiend ontwerp stimuleert dit toetsenbord een natuurlijke typehouding. Je vingers maken minder overbodige bewegingen en je hoeft ze niet onnodig te strekken. Je armen en polsen nemen een betere houding aan doordat het bord in een hoek van 7 graden naar achteren loopt en de comfortabele handpalmsteun net iets hoger is dan het toetsenbord. Zo voorkom je krampen en andere vervelende pijntjes. En ook typ je een stuk sneller. Met een groot aantal eenvoudig te programmeren sneltoetsen start je applicaties, bedien je multimedia en voer je gecompliceerde bewerkingen uit, letterlijk met één druk op de knop.","59,99","Microsoft","B2M-00006","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Bedraad","53 cm x 29 cm x 8 cm","Nee"
Toetsenborden QWERTY,"HP USB Toetsenbord QY776AA Qwerty","Het HP USB Toetsenbord QY776AA Qwerty is morsbestendig. Het is dus geen ramp als je per ongeluk een glas water omstoot dat op je bureau staat. Je sluit het toetsenbord aan via een kabel van 1,8 meter met een standaard usb 2.0 aansluiting. En met de kantelpootjes onder het toetsenbord bepaal je de hoogte en het gemak waarmee je typt.","34,99","HP","QY776AA#ABB","Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Nee","Bedraad","42,2 cm x 16,4 cm x 2,4 cm","Nee"
Toetsenborden QWERTY,"Logitech K830 Draadloos Touch Toetsenbord QWERTY","Het Logitech K830 Draadloos Touch Toetsenbord is een combinatie van een compact toetsenbord en een touchpad. Het grote touchpad is te gebruiken als muis. Beweeg de cursor, klik en sleep. Je kunt het touchpad zelfs aanpassen met software van Logitech. Zo heb je dus geen muis meer nodig en bespaar je ruimte op je bureau. Of op de bank, want het bereik van de draadloze ontvanger is wel 10 meter. Zit je in het donker? De toetsen lichten na aanraking op. Omdat de Logitech K830 over een oplaadbare accu beschikt, hoef je nooit batterijen te vervangen. Sluit dit toetsenbord aan op je laptop, PC of televisie en je kunt direct aan de slag.","95,-","Logitech","920-006093","Touchpad, Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","36,7 cm x 12,55 cm x 1,65 cm","Ja"
Toetsenborden QWERTY,"HP Klassiek Toetsenbord met Snoer QWERTY","Het HP Klassiek Toetsenbord met Snoer is morsbestendig. Het is dus geen ramp als je per ongeluk een glas water omstoot dat op je bureau staat. Je sluit het toetsenbord gemakkelijk aan via een kabel van 1,8 meter met een standaard usb 2.0 aansluiting. Met de kantelpootjes onder het toetsenbord bepaal je de hoogte en het gemak waarmee je typt.","24,99","HP","WZ972AA","Number pad, Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Nee","Bedraad","46 cm x 15 cm x 3,05 cm","Nee"
Toetsenborden QWERTY,"Microsoft Wired Keyboard 600 QWERTY","Met de Microsoft Wired Keyboard 600 heb je een degelijk toetsenbord met multimediatoetsen op je bureau. De multimediatoetsen komen tot hun recht wanneer je muziek luistert of een film kijkt. Met deze toetsen pas je bijvoorbeeld het volume aan, pauzeer je een film of selecteer je het volgende nummer in Windows Media Player. Mailtjes tikken, internetten en een verslag schrijven in Word doe je moeiteloos met dit toetsenbord van Microsoft.","24,99","Microsoft","ANB-00021","Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Bedraad","None x None x None","Nee"
Toetsenborden QWERTY,"Logitech K380 Bluetooth Toetsenbord Grijs QWERTY","De Logitech Multi Device Toetsenbord K380 is een draadloos toetsenbord voor je computer, tablet of smartphone. Of je nu werkt met Windows, Mac, Android of iOS, de K380 werkt direct met alle bluetooth devices. Je koppelt dit toetsenbord aan maximaal 3 apparaten tegelijkertijd, zodat je eenvoudig kunt schakelen van je tablet naar je computer, of andersom.","50,95","Logitech","920-007582","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","27,9 cm x 12,4 cm x 1,6 cm","Nee"
