product_type,product_name,product_desc,product_price,product_brand,product_model,product_keyboardtype,product_numpad,product_layout,product_mech,product_prog,product_media,product_connection,product_dimensions,product_light
Toetsenborden QWERTY,"Ewent Numeriek Toetsenbord","Het Ewent Numeriek Toetsenbord is een aanvulling op ieder toetsenbord zonder numerieke toetsen en is perfect te gebruiken voor boekhouden, spreadsheets, games en nog veel meer. Je sluit het toetsenbord gemakkelijk aan via usb. Dankzij het compacte ontwerp is het toetsenbord gemakkelijk mee te nemen.","18,99","Ewent","EW3102","Number pad","Ja","Numeriek US layout","Nee","Nee","Nee","Bedraad","2,07 cm x 1,71 cm x 0,55 cm","Nee"
Toetsenborden QWERTY,"Logitech K810 Illuminated Keyboard QWERTY","Het Logitech K810 Illuminated Keyboard maakt draadloos verbinding met je laptop, tablet of smartphone via Bluetooth. Je schakelt makkelijk over tussen een van deze drie apparaten. Zo kan je snel een bericht beantwoorden, tijdens het typen van een mail. De automatische verlichting van het Logitech K810 Illuminated Keyboard zorgt dat je altijd goed zicht hebt op de toetsen. Zodra je handen in de buurt van het toetsenbord komen, schakelt het licht automatisch aan en past zich aan naar de lichtomstandigheden. Het Logitech K810 Bluetooth Illuminated Keyboard is compact, draadloos, geschikt voor meerdere apparaten en denkt met je mee.","99,99","Logitech","920-004308","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","28,7 cm x 12,7 cm x 1 cm","Ja"
Toetsenborden QWERTY,"Logitech Multi Device Toetsenbord K780 QWERTY","De Logitech Multi Device Toetsenbord K780 is een draadloos toetsenbord voor je computer, tablet en telefoon. Koppel tot 3 apparaten tegelijk via bluetooth of de usb bluetooth dongel, druk op de knop en wissel moeiteloos tussen de gekoppelde apparaten. Het ene moment typ een verslag op je computer, het volgende moment beantwoord je snel even een WhatsApp bericht op je telefoon. Dankzij de ingebouwde houder heb je goed zicht op je telefoon of tablet terwijl je typt.","92,99","Logitech","920-008042","Stand, Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Nee","Draadloos","38 cm x 15,8 cm x 2,2 cm","Nee"
Toetsenborden QWERTY,"Logitech K380 Bluetooth Toetsenbord Blauw QWERTY","De Logitech Multi Device Toetsenbord K380 is een draadloos toetsenbord voor je computer, tablet of smartphone. Of je nu werkt met Windows, Mac, Android of iOS, de K380 werkt direct met alle bluetooth devices. Je koppelt dit toetsenbord aan maximaal 3 apparaten tegelijkertijd, zodat je eenvoudig kunt schakelen van je tablet naar je computer, of andersom.","49,99","Logitech","920-007583","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","27,9 cm x 12,4 cm x 1,6 cm","Nee"
Toetsenborden QWERTY,"Logitech K400 Plus Wireless Touch Wit QWERTY","Sluit je laptop aan op de televisie en bedien deze vanaf de bank met de Logitech K400 Plus Wireless Touch. Dit toetsenbord beschikt over een geïntegreerd touchpad, zodat je ook geen muis meer nodig hebt. Via de multimedia toetsen zet je een film eenvoudig op pause of pas je het volume aan. Je sluit dit model aan via de nano usb connector en gaat meteen aan de slag.","49,99","Logitech","920-007146","Touchpad, Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","35,43 cm x 2,35 cm x 13,99 cm","Nee"
Toetsenborden QWERTY,"Microsoft All-in-One Media Toetsenbord QWERTY","Het Microsoft All-in-One Media Toetsenbord is een combinatie van een toetsenbord en een trackpad. Het geïntegreerde multitouch-trackpad is te gebruiken als muis. Beweeg de cursor, veeg, klik, zoom en sleep. Zo heb je dus geen muis meer nodig en bespaar je ruimte op je bureau. Of op de bank, want het bereik van de draadloze ontvanger is wel 9 meter. Sluit dit toetsenbord aan op je laptop, PC of televisie en je kunt direct aan de slag.","44,99","Microsoft","N9Z-00022","Touchpad, Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","36,7 cm x 13,2 cm x 1,94 cm","Nee"
Toetsenborden QWERTY,"R-Go-Tools Goldtouch Travel Go!2 Bluetooth QWERTY","R-Go-Tools Goldtouch Travel Go!2 Bluetooth QWERTY is een gesplitst, compact en lichtgewicht toetsenbord dat je draadloos gebruikt. Je maakt verbinding met je toetsenbord en computer via een Bluetooth verbinding. Je bepaalt zelf in welke hoek je het toetsenbord neerzet, hierin kun je variëren van een hoek van 0 tot 30 graden. Het toetsenbord heeft een korte reikafstand naar een muis, waardoor je binnen schouderbreedte werkt. Hierdoor zit je in een ergonomisch verantwoorde werkhouding en voorkom je mogelijke RSI klachten.","199,-","R-Go Tools","RGOGTGTP-0044W","Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Nee","Draadloos","15,2 cm x 34,3 cm x 2,5 cm","Nee"
Toetsenborden QWERTY,"Microsoft Universal Foldable Keyboard QWERTY","De Microsoft Universal Foldable Keyboard Qwerty is een opvouwbaar toetsenbord voor bij je tablet of smartphone. Notuleer, schrijf snel een e-mail of bewerk eenvoudig een bericht. Handig in de trein, tijdens een vergadering of voor thuis. Koppel het toetsenbord via Bluetooth aan twee apparaten en schakel eenvoudig tussen de apparaten met 1 druk op de knop. Ben je klaar? Klap het toetsenbord dubbel en je bent klaar om te gaan.","101,95","Microsoft","GU5-00013","Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Nee","Draadloos","15,54 cm x 13,41 cm x 2,9 cm","Nee"
Toetsenborden QWERTY,"Trust Sento Smart TV Keyboard voor Samsung","Met het Trust Sento Smart TV Keyboard bedien je eenvoudig de slimme functies van je Samsung smart-tv. Gebruik het draadloze qwerty-toetsenbord om internetadressen in te voeren, films op te zoeken en Facebook updates te plaatsen. Om extra gemakkelijk te navigeren, heeft het kleine keyboard een touchpad met muisknoppen, net als een laptop. Je afstandsbediening kun je in veel gevallen links laten liggen. Het Trust Sento Smart TV Keyboard voor Samsung neemt de basisfuncties over, zoals zappen en het veranderen van volume.","59,99","Trust","20059","Touchpad, Toetsenbord","Nee","QWERTY UK layout","Nee","None","Ja","Draadloos","None x None x None","Nee"
Toetsenborden QWERTY,"Ewent Bluetooth Toetsenbord","Met het Ewent Bluetooth Toetsenbord typ je eenvoudig een tekst of mail op je tablet of smartphone. Via bluetooth en het indrukken van de easy pairing knop maak je eenvoudig  verbinding met een tablet of smartphone. Je wisselt eenvoudig tussen iOS, macOS, Android en Windows apparaten. De multimedia-sneltoetsen op het toetsenbord passen zich namelijk zelf op het besturingssysteem aan. Dankzij de energiebesparingsstand heeft het toetsenbord een gebruiksduur tot 30 uur. Samen met de stand-by tijd van 40 uur typ je aan 1 stuk door lange teksten. De batterij indicator geeft je meer informatie over de batterijstatus.","27,99","Ewent","EW3163","Toetsenbord","Nee","QWERTY US layout","Nee","Ja","Ja","Draadloos","28,5 cm x 12 cm x 0,5 cm","Nee"
Toetsenborden QWERTY,"Trust Elight Toetsenbord QWERTY","Met het Trust Elight Toetsenbord brengt Trust gekleurde verlichting naar je werkplek. `s Avonds werken doe je nu namelijk in stijl met groene, blauwe of turquoise verlichting. En overdag zet je de verlichting gewoon weer uit. Het toetsenbord is plug-and-play, aansluiten via usb en alles werkt meteen. Zelfs de 12 multimedia sneltoetsen waarmee je jouw muziek, films en andere handige functies binnen handbereik hebt.","39,99","Trust","21295","Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Bedraad","43,5 cm x 18,4 cm x 2,5 cm","Ja"
Toetsenborden QWERTY,"Logitech Multi Device Toetsenbord K480 Wit QWERTY","De Logitech Multi Device Toetsenbord K480 is een draadloos toetsenbord voor je computer, tablet of smartphone. Of je nu werkt met Windows of Mac, Android of iOS, de K480 werkt direct met alle bluetooth-apparaten. Dankzij de geïntegreerde houder kun je een telefoon of tablet in de juiste hoek zetten. En met een draai aan de knop schakel je razendsnel tussen 3 verschillende bluetooth-apparaten.","49,99","Logitech","920-006367","Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","2,99 cm x 1,95 cm x 0,2 cm","Nee"
Toetsenborden QWERTY,"Rapoo E2710 Wireless Multimedia Touchpad Keyboard Zwart QWERTY","De Rapoo E2710 is voor de thuisgebruiker die vanaf zijn schoot de touwtjes in handen wil hebben. De E2710 is meer dan alleen een toetsenbord, want met het touchpad op de plek van het numeriek keypad vervult de Rapoo ook de rol van muis. Sluit de usb nano adapter aan op je Home Theater pc of tablet en ga direct aan de slag. Aan de hand van de multimedia toetsen open je gemakkelijk je browser of regel je het volume van je muziek.","42,99","Rapoo","E2710B","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","None x None x None","Nee"
Toetsenborden QWERTY,"Rapoo E2710 Wireless Multimedia Touchpad Keyboard Wit QWERTY","De Rapoo E2710 is voor de thuisgebruiker die vanaf zijn schoot de touwtjes in handen wil hebben. De E2710 is meer dan alleen een toetsenbord, want met het touchpad op de plek van het numeriek keypad vervult de Rapoo ook de rol van muis. Sluit de usb nano adapter aan op je Home Theater pc of tablet en ga direct aan de slag. Aan de hand van de multimedia toetsen open je gemakkelijk je browser of regel je het volume van je muziek.","44,99","Rapoo","E2710W","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","25,4 cm x 8,2 cm x 1,9 cm","Nee"
Toetsenborden QWERTY,"Belkin Numeriek Bluetooth Keypad voor Apple","Het Belkin Numeriek Bluetooth Keypad is een aanvulling op ieder Apple toetsenbord zonder numerieke toetsen en is perfect te gebruiken voor boekhouden, spreadsheets, games en nog veel meer. Je sluit de keypad gemakkelijk aan via Bluetooth. Dankzij het compacte ontwerp is het numerieke toetsenbord gemakkelijk mee te nemen.","74,99","Belkin","F8T067cw","Number pad","Ja","Numeriek US layout","Nee","Nee","Nee","Draadloos","13,1 cm x 12,9 cm x 1,8 cm","Nee"
Toetsenborden QWERTY,"Rapoo E6700 Bluetooth Toetsenbord Blauw QWERTY","De Rapoo E6700 is een volwaardig toetsenbord met touchpad waarmee je onderweg een mailtje typt op je tablet. Dankzij de bluetooth verbinding gebruik je dit toetsenbord met elk mobiel apparaat. Zet je telefoon in een standaard een reageer snel op Whatsapp. Of zet je Android tablet voor je neus en zie een cursor op het scherm verschijnen wanneer je het touchpad gebruikt. Dankzij de ingebouwde Windows toets en bijbehorende functieknoppen gebruik je dit toetsenbord ook in combinatie met je Windows tablet of pc.","59,99","Rapoo","E6700 BU-NL","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","33,2 cm x 10,1 cm x 1,5 cm","Nee"
Toetsenborden QWERTY,"Ewent Smart TV Toetsenbord QWERTY","Met de Ewent Smart TV Toetsenbord QWERTY bedien je jouw computer of Smart TV  eenvoudig met toetsen en een touchpad. Je hoeft dus niet meer te stoeien met de pijltjestoetsen van je afstandsbediening. Het toetsenbord is draadloos en heeft een bereik tot 10 meter. Op de vlakke toetsen typ je comfortabel en het 3.5 inch touchpad is voorzien van een muisfunctie en grote knoppen. Je maakt verbinding door middel van een usb ontvangen die is opgeborgen in het toetsenbord.","39,99","Ewent","EW3115","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","35,5 cm x 12,9 cm x 1,5 cm","Nee"
Toetsenborden QWERTY,"Bakker Elkhuizen S-Board 840 Numeriek Blok","Het Bakker Elkhuizen S-Board 840 Numeriek Blok is een aanvulling op een van de compacte Bakker Elkhuizen toetsenborden. De aanslag van dit numeriek blok is gelijk aan die van de toetsenborden, zodat je het verschil niet kan merken. Het Bakker Elkhuizen S-Board 840 Numeriek Blok kan je ook gebruiken als rekenmachine, met behulp van het LCD scherm. De geleverde usb kabel is oprolbaar, zodat je het numeriek blok makkelijk kan opbergen.","61,95","Bakker Elkhuizen","BNES840DNUM","Number pad","Ja","Numeriek US layout","Nee","Nee","Nee","Bedraad","30,5 cm x 16,5 cm x 2 cm","Nee"
Toetsenborden QWERTY,"Rapoo E2800P Wireless Touchpad Keyboard Wit QWERTY","Met de Rapoo E2800P Wireless Touchpad Keyboard gebruik je de toetsen om te typen en navigeer je de muiscursor met het geïntegreerde touchpad. Op het gladde paneel van de Smart Touch Area maak je gemakkelijk bewegingen met je vinger. En dankzij de multimedia sneltoetsen heb je direct toegang tot functies als mediaplayer, homepagina en pas je het volume eenvoudig aan. Het toetsenbord heeft een levensduur van een paar maanden dankzij de ingebouwde Lithium batterij en hoeft dus niet snel vervangen te worden. Wanneer je aan het typen bent, voelt iedere toetsaanslag natuurlijk aan. Dit komt doordat de mechanische structuur van de toetsen de druk gelijkmatig verdeeld.","59,99","Rapoo","E2800P WH-N","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","10,1 cm x 33,2 cm x 1,5 cm","Nee"
Toetsenborden QWERTY,"Trust Veza Draadloos Toetsenbord met Touchpad QWERTY","Sluit je laptop aan op de televisie en bedien deze vanaf de bank met de Trust Veza Wireless Touchpad. Dit toetsenbord beschikt over een extra groot geïntegreerd touchpad, zodat je ook geen muis meer nodig hebt. Via de multimedia toetsen zet je een film eenvoudig op pause of pas je het volume aan. Je sluit dit model aan via de micro usb connector en gaat meteen aan de slag.","42,99","Trust","20960","Touchpad, Toetsenbord","Nee","QWERTY US layout","Nee","Nee","Ja","Draadloos","40 cm x 3 cm x 14 cm","Nee"
Toetsenborden QWERTY,"Rapoo E1050 Wireless Keyboard QWERTY","De Rapoo E1050 is een draadloos toetsenbord waarbij je niet bijbetaalt voor allemaal  poespas. Het toetsenbord heeft een bereik van 10 meter rond de usb micro adapter. Bedien je muziek of film met de multimediatoetsen, zo selecteer je snel het volgende nummero f pas je het volume aan. De batterijen gaan om en nabij een jaar mee zodat je naar hartelust over het internet surft. Mocht het toetsenbord tijdens het surfen toch met nattigheid in aanraking komen dan is dat geen ramp, want het toetsenbord is morsbestendig.","25,99","Rapoo","E1050","Number pad, Toetsenbord","None","QWERTY US layout","Nee","Nee","Ja","Draadloos","39,2 cm x 12,6 cm x 2,9 cm","Nee"
Toetsenborden QWERTY,"Logitech Multi Device Toetsenbord K480 zwart QWERTY","De Logitech Multi Device Toetsenbord K480 is een draadloos toetsenbord voor je computer, tablet of smartphone. Of je nu werkt met Windows of Mac, Android of iOS, de K480 werkt direct met alle bluetooth-apparaten. Dankzij de geïntegreerde houder kun je een telefoon of tablet in de juiste hoek zetten. En met een draai aan de knop schakel je razendsnel tussen 3 verschillende bluetooth-apparaten.","49,99","Logitech","920-006366","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","2,99 cm x 19,5 cm x 2 cm","Nee"
