product_type,product_name,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"HP PageWide Enterprise Color MFP 586z","1.999,-","HP","G1W41A","All-in-one","Inkjet","A4","1200 x 1200","50 ppm","50 ppm","2,048 GB","53 cm x 56,4 cm x 52,9 cm","32,3 kg"
Inkjetprinters,"Epson WorkForce Pro WF-8590 DTWF","1.689,-","Epson","C11CD45301BT","All-in-one","Inkjet","A3+","4800 x 1200","24 ppm","24 ppm","None","59 cm x 57 cm x 58,9 cm","46,4 kg"
Inkjetprinters,"HP Designjet T520 24 inch","1.529,-","HP","CQ890A","Alléén printen","Inkjet","A1","2400 x 1200","1 ppm","1 ppm","1,024 GB","98,7 cm x 53 cm x 93,2 cm","34 kg"
Inkjetprinters,"HP Designjet T730 36 inch","2.839,-","HP","F9A29A","Alléén printen","Inkjet","A0","2400 x 1200","2,4 ppm","2,4 ppm","1 GB","140,3 cm x 58,3 cm x 115,5 cm","48 kg"
Labelprinters,"Brother PT-P750W","119,99","Brother","PTP750WUA1","None","None","None","180","None","None","None","7,8 cm x 15,2 cm x 14,3 cm","0,8 kg"
Laserprinters,"Lexmark CX517DE","489,-","Lexmark","28EC511","All-in-one","Laser","A4","2400 x 600","30 ppm","30 ppm","1024 GB","44,4 cm x 58,9 cm x 47 cm","28,2 kg"
Laserprinters,"Brother MFC-L8690CDW","559,-","Brother","MFC-L8690CDW","All-in-one","Laser","A4","2400 x 600","31 ppm","31 ppm","0,512 GB","43,5 cm x 52,6 cm x 53,9 cm","27,9 kg"
Laserprinters,"HP LaserJet Pro MFP M130a","129,-","HP","G3Q57A","All-in-one","Laser","A4","600 x 600","22 ppm","None","0,128 GB","39,8 cm x 28,8 cm x 23,11 cm","6,8 kg"
Laserprinters,"Canon i-SENSYS LBP151dw","171,99","Canon","0568C001","Alléén printen","Laser","A4","600 x 600","27 ppm","None","None","36,5 cm x 39 cm x 24,5 cm","8,6 kg"
Laserprinters,"Xerox WorkCentre 6515N","359,-","Xerox","6515V_N","All-in-one","LED-technologie","A4","2400 x 1200","28 ppm","28 ppm","None","50,6 cm x 42 cm x 50 cm","36,2 kg"
Inkjetprinters,"HP PageWide Pro 452dwt (W2Z52B)","459,-","HP","W2Z52B","Alléén printen","Inkjet","A4","1200 x 1200","40 ppm","40 ppm","0,512 GB","53 cm x 40,7 cm x 53,9 cm","21,48 kg"
Laserprinters,"Canon i-SENSYS LBP7100CN","175,99","Canon","6293B004","Alléén printen","Laser","A4","1200 x 1200","14 ppm","14 ppm","None","40,6 cm x 25,5 cm x 45,4 cm","16,6 kg"
Laserprinters,"Brother HL-L5100DNT","299,-","Brother","HL-L5100DNT","Alléén printen","Laser","A4","1200 x 1200","40 ppm","None","None","37,3 cm x 38,8 cm x 38,7 cm","14,6 kg"
Laserprinters,"Brother DCP-L2540DN","163,99","Brother","DCP-L2540DN","All-in-one","Laser","A4","2400 x 600","30 ppm","None","None","40,9 cm x 39,9 cm x 31,6 cm","11,2 kg"
Laserprinters,"Samsung Xpress SL-C480","259,-","Samsung","SL-C480/SEE","All-in-one","Laser","A4","2400 x 600","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Inkjetprinters,"HP Designjet T730 36 inch","2.839,-","HP","F9A29A","Alléén printen","Inkjet","A0","2400 x 1200","2,4 ppm","2,4 ppm","1 GB","140,3 cm x 58,3 cm x 115,5 cm","48 kg"
Laserprinters,"Canon I-SENSYS LBP7018C","129,-","Canon","4896B004","Alléén printen","Laser","A4","None","16 ppm","4 ppm","None","40 cm x 39,8 cm x 22,3 cm","12,3 kg"
Laserprinters,"Brother MFC-L5750DW","499,-","Brother","MFC-L5750DW","All-in-one","Laser","A4","1200 x 1200","40 ppm","None","None","54,5 cm x 52 cm x 64,1 cm","16,5 kg"
Inkjetprinters,"HP PageWide Enterprise Color MFP 586dn","1.629,-","HP","G1W39A","All-in-one","Inkjet","A4","1200 x 1200","50 ppm","50 ppm","2,048 GB","53 cm x 56,4 cm x 52,9 cm","32,3 kg"
Inkjetprinters,"HP PageWide Enterprise Color MFP 586z","1.999,-","HP","G1W41A","All-in-one","Inkjet","A4","1200 x 1200","50 ppm","50 ppm","2,048 GB","53 cm x 56,4 cm x 52,9 cm","32,3 kg"
Laserprinters,"HP LaserJet Pro MFP M521DW","709,-","HP","A8P80A","All-in-one","Laser","A4","1200 x 1200","40 ppm","None","0,256 GB","46,5 cm x 46,5 cm x 50,8 cm","22,4 kg"
3D-printers,"Ultimaker 3 Extended","4.469,-","Ultimaker","9675","None","None","None","None","None","None","None","49,3 cm x 33,8 cm x 68,8 cm","11,3 kg"
Labelprinters,"DYMO Mobile Labeler","99,99","Dymo","1978243","None","None","None","300 x 300","None","None","None","None x None x None","None"
Inkjetprinters,"Epson SureColor SC-P800","1.139,-","Epson","C11CE22301BX","Alléén printen","Inkjet","A2+","2880 x 1440","6 ppm","5 ppm","None","68,4 cm x 37,6 cm x 25 cm","26,4 kg"
Laserprinters,"Brother DCP-9015CDW","279,-","Brother","DCP9015CDWRF1","All-in-one","LED-technologie","A4","600 x 2400","18 ppm","18 ppm","0,192 GB","48,3 cm x 41 cm x 36,7 cm","26,4 kg"
Laserprinters,"Samsung CLP-680ND","279,-","Samsung","CLP-680ND/SEE","Alléén printen","Laser","A4","9600 x 600","24 ppm","25 ppm","None","42 cm x 45,25 cm x 31,13 cm","20,15 kg"
Laserprinters,"Brother HL-L5200DW","289,-","Brother","HLL5200DWRF1","Alléén printen","Laser","A4","1200 x 1200","40 ppm","None","None","37,3 cm x 38,8 cm x 25,5 cm","10,7 kg"
3D-printers,"Ultimaker 3","3.599,-","Ultimaker","9670","None","None","None","None","None","None","None","49,3 cm x 33,8 cm x 58,8 cm","10,6 kg"
Laserprinters,"Canon i-SENSYS LBP151dw","171,99","Canon","0568C001","Alléén printen","Laser","A4","600 x 600","27 ppm","None","None","36,5 cm x 39 cm x 24,5 cm","8,6 kg"
Labelprinters,"DYMO LabelManager 420P","101,99","Dymo","S0915440","None","None","None","180 x 180","None","None","None","11,1 cm x 21,5 cm x 5,7 cm","0,5 kg"
Laserprinters,"Brother MFC-L8690CDW","559,-","Brother","MFC-L8690CDW","All-in-one","Laser","A4","2400 x 600","31 ppm","31 ppm","0,512 GB","43,5 cm x 52,6 cm x 53,9 cm","27,9 kg"
Laserprinters,"Canon i-SENSYS LBP7100CN","175,99","Canon","6293B004","Alléén printen","Laser","A4","1200 x 1200","14 ppm","14 ppm","None","40,6 cm x 25,5 cm x 45,4 cm","16,6 kg"
Inkjetprinters,"HP PageWide Pro 452dwt (W2Z52B)","459,-","HP","W2Z52B","Alléén printen","Inkjet","A4","1200 x 1200","40 ppm","40 ppm","0,512 GB","53 cm x 40,7 cm x 53,9 cm","21,48 kg"
Laserprinters,"HP LaserJet Enterprise M506dn","459,-","HP","F2A69A","Alléén printen","Laser","A4","1200 x 1200","43 ppm","None","None","41,8 cm x 37,6 cm x 29,8 cm","11,8 kg"
Laserprinters,"Canon i-SENSYS LBP6030W","114,95","Canon","8468B002","Alléén printen","Laser","A4","600 x 600","18 ppm","None","None","36,4 cm x 24,9 cm x 19,9 cm","5 kg"
Laserprinters,"Samsung Xpress SL-C480","259,-","Samsung","SL-C480/SEE","All-in-one","Laser","A4","2400 x 600","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Laserprinters,"Samsung Xpress M2825ND","139,-","Samsung","SL-M2825ND/SEE","Alléén printen","Laser","A4","4800 x 600","28 ppm","None","0,128 GB","36,8 cm x 33,5 cm x 20,2 cm","7,4 kg"
Laserprinters,"Brother MFC-L5750DW","499,-","Brother","MFC-L5750DW","All-in-one","Laser","A4","1200 x 1200","40 ppm","None","None","54,5 cm x 52 cm x 64,1 cm","16,5 kg"
Laserprinters,"Lexmark MS610dn","216,68","Lexmark","35S4670","Alléén printen","Laser","A4","1200 x 1200","47 ppm","None","0,256 GB","3,99 cm x 3,82 cm x 30,6 cm","15,7 kg"
Labelprinters,"DYMO LabelManager PnP Wireless","109,-","Dymo","S0969000","None","None","None","300","None","None","None","11,4 cm x 20,1 cm x 5,7 cm","0,61 kg"
Laserprinters,"HP LaserJet Pro M203dn","168,99","HP","G3Q46A","Alléén printen","Laser","A4","1200 x 1200","28 ppm","None","None","37,1 cm x 40,7 cm x 22,4 cm","6,9 kg"
Laserprinters,"Lexmark MS415dn","143,99","Lexmark","35S4664","Alléén printen","Laser","A4","1200 x 1200","38 ppm","None","None","39,9 cm x 38,2 cm x 26,3 cm","14,2 kg"
Laserprinters,"HP LaserJet Pro MFP M227sdn","239,-","HP","G3Q74A","All-in-one","Laser","A4","1200 x 1200","28 ppm","None","0,256 GB","40,3 cm x 40,7 cm x 31,2 cm","9,4 kg"
Inkjetprinters,"HP OfficeJet Pro 8218 (J3P68A)","164,-","HP","J3P68A","Alléén printen","Inkjet","A4","1200 x 1200","20 ppm","16 ppm","0,256 GB","48,8 cm x 42,8 cm x 28,9 cm","11,48 kg"
Laserprinters,"HP LaserJet Pro MFP M26a","118,-","HP","T0L49A","All-in-one","Laser","A4","600 x 600","18 ppm","None","0,128 GB","42 cm x 26,6 cm x 25,4 cm","8 kg"
Laserprinters,"HP Color LaserJet Pro MFP M277n","289,-","HP","B3Q10A","All-in-one","Laser","A4","600 x 600","18 ppm","18 ppm","None","42 cm x 38,4 cm x 32,2 cm","15,3 kg"
Laserprinters,"HP Color LaserJet Pro M252n","179,99","HP","B4A21A","Alléén printen","Laser","A4","600 x 600","18 ppm","18 ppm","None","39,2 cm x 38,4 cm x 23,62 cm","11,4 kg"
Inkjetprinters,"Epson WorkForce Pro WF-8510DWF","999,-","Epson","C11CD44301","All-in-one","Inkjet","A3+","4800 x 1200","24 ppm","24 ppm","None","59 cm x 57 cm x 46,4 cm","34,3 kg"
Laserprinters,"Brother HL-L2360DN","131,89","Brother","HL-L2360DN","Alléén printen","Laser","A4","2400 x 600","30 ppm","None","None","35,6 cm x 36 cm x 18,3 cm","6,9 kg"
Inkjetprinters,"Brother MFC-J5930DW","329,-","Brother","MFC-J5930DW","All-in-one","Inkjet","A3","4800 x 1200","22 ppm","20 ppm","0,512 GB","53 cm x 39,8 cm x 37,5 cm","20,6 kg"
Laserprinters,"Brother DCP-L8410CDW","419,-","Brother","DCP-L8410CDW","All-in-one","Laser","A4","2400 x 600","31 ppm","31 ppm","0,512 GB","43,5 cm x 52,6 cm x 53,9 cm","27,6 kg"
Laserprinters,"Brother HL-L8260CDW","309,-","Brother","HL-L8260CDW","Alléén printen","Laser","A4","2400 x 600","31 ppm","31 ppm","0,256 GB","41 cm x 48,6 cm x 31,3 cm","21,8 kg"
Laserprinters,"Lexmark MS417DN","119,-","Lexmark","35SC280","Alléén printen","Laser","A4","1200 x 1200","38 ppm","None","None","39,9 cm x 38,2 cm x 26,3 cm","14,2 kg"
Inkjetprinters,"Epson WorkForce Pro WF-4725DWF","219,-","Epson","C11CF74404","All-in-one","Inkjet","A4","4800 x 1200","20 ppm","20 ppm","None","42,5 cm x 37,8 cm x 24,9 cm","9,1 kg"
Laserprinters,"Brother MFC-L8900CDW","1.059,-","Brother","MFC-L8900CDW","All-in-one","Laser","A4","2400 x 600","31 ppm","31 ppm","0,512 GB","49,5 cm x 52,6 cm x 54,9 cm","28,7 kg"
Laserprinters,"Lexmark CX317DN","229,-","Lexmark","28CC561","All-in-one","Laser","A4","2400 x 600","25 ppm","23 ppm","None","44,4 cm x 55,8 cm x 47 cm","27,4 kg"
Laserprinters,"Lexmark MS317DN","84,99","Lexmark","35SC080","Alléén printen","Laser","A4","1200 x 1200","33 ppm","None","None","39,9 cm x 38,2 cm x 26,3 cm","14 kg"
Inkjetprinters,"Ricoh SG 3110DNw","229,-","Ricoh Nederland B.V.","906306","Alléén printen","Inkjet","A4","3600 x 1200","12 ppm","12 ppm","0,128 GB","39,9 cm x 43,7 cm x 21,3 cm","10,5 kg"
Laserprinters,"Lexmark MX317DN","156,99","Lexmark","35SC745","All-in-one","Laser","A4","1200 x 1200","33 ppm","None","None","39,9 cm x 47,2 cm x 46,8 cm","20 kg"
Laserprinters,"Samsung Xpress M2875FD","219,-","Samsung","SL-M2875FD/SEE","All-in-one","Laser","A4","4800 x 600","28 ppm","None","0,128 GB","40,1 cm x 36,7 cm x 36,2 cm","11,3 kg"
Laserprinters,"Samsung Xpress C1810W","219,-","Samsung","SL-C1810W/SEE","Alléén printen","Laser","A4","9600 x 600","16 ppm","16 ppm","None","42 cm x 42,6 cm x 26,4 cm","16,62 kg"
Laserprinters,"Canon i-SENSYS LBP6030B","105,99","Canon","8468B006","Alléén printen","Laser","A4","600 x 600","18 ppm","None","None","36,4 cm x 24,9 cm x 19,9 cm","5 kg"
Inkjetprinters,"Canon PIXMA MG6851","113,-","Canon","0519C026","All-in-one","Inkjet","A4","4800 x 1200","15 ppm","9,7 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,4 kg"
Inkjetprinters,"Epson WorkForce Pro WF-6590DWF","669,-","Epson","C11CD49301","All-in-one","Inkjet","A4","4800 x 1200","24 ppm","24 ppm","None","51,6 cm x 52 cm x 51,4 cm","31 kg"
3D-printers,"Ultimaker 2+","2.299,-","Ultimaker","9620","None","None","None","None","None","None","None","49,3 cm x 34,2 cm x 58,8 cm","11,3 kg"
Inkjetprinters,"Epson Stylus Photo 1500W","379,-","Epson","C11CB53302","Alléén printen","Inkjet","A3+","5760 x 1440","16 ppm","16 ppm","None","61,6 cm x 32,2 cm x 21,5 cm","11,8 kg"
Inkjetprinters,"HP ENVY Photo 6234 All-in-One","99,99","HP","K7S21B","All-in-one","Inkjet","A4","4800 x 1200","12 ppm","8 ppm","0,256 GB","45,35 cm x 41 cm x 15,56 cm","6,7 kg"
Labelprinters,"DYMO LabelWriter 450 Twin Turbo","174,-","Dymo","S0838870","None","None","None","600 x 300","None","None","None","21,7 cm x 18,7 cm x 13,4 cm","1,12 kg"
Inkjetprinters,"HP ENVY 5030 All-in-one","79,99","HP","M2U92B","All-in-one","Inkjet","A4","4800 x 1200","10 ppm","7 ppm","0,256 GB","56,4 cm x 44,5 cm x 12,8 cm","5,41 kg"
Laserprinters,"Lexmark MS818DN","389,-","Lexmark","40GC230","Alléén printen","Laser","A4","1200 x 1200","60 ppm","None","0,512 GB","42,5 cm x 51 cm x 41,9 cm","23,6 kg"
Inkjetprinters,"HP ENVY Photo 7130 All-in-One","129,99","HP","Z3M47B","All-in-one","Inkjet","A4","4800 x 1200","14 ppm","9 ppm","0,256 GB","45,35 cm x 41 cm x 15,92 cm","6,7 kg"
Labelprinters,"DYMO LetraTag LT-100T (AZERTY)","33,99","Dymo","S0758360","None","None","None","160","None","None","None","22 cm x 8,3 cm x 4,8 cm","0,229 kg"
Inkjetprinters,"HP Deskjet 3637 All-in-One","43,-","HP","K4U01B","All-in-one","Inkjet","A4","4800 x 1200","8,5 ppm","6 ppm","None","43,8 cm x 31 cm x 15,8 cm","4,17 kg"
Inkjetprinters,"HP OfficeJet 3830 e-All-in-One","59,99","HP","F5R95B","All-in-one","Inkjet","A4","1200 x 1200","8,5 ppm","6 ppm","None","45 cm x 36,4 cm x 22,44 cm","5,61 kg"
Laserprinters,"Brother DCP-1612W","115,-","Brother","DCP-1612W","All-in-one","Laser","A4","2400 x 600","20 ppm","None","0,032 GB","34 cm x 38,5 cm x 25,5 cm","7,2 kg"
Laserprinters,"Xerox WorkCentre 6515DNI","349,-","Xerox","6515V_DNI","All-in-one","LED-technologie","A4","2400 x 1200","28 ppm","28 ppm","2 GB","50,6 cm x 42 cm x 50 cm","36,2 kg"
Laserprinters,"Lexmark CX417DE","299,-","Lexmark","28DC561","All-in-one","Laser","A4","2400 x 600","30 ppm","30 ppm","None","44,4 cm x 55,8 cm x 47 cm","27,4 kg"
Inkjetprinters,"HP DeskJet 2630 All-in-One","49,99","HP","V1N03B","All-in-one","Inkjet","A4","4800 x 1200","7,5 ppm","5,5 ppm","None","42,5 cm x 30,4 cm x 14,9 cm","3,42 kg"
Laserprinters,"Xerox Phaser 6510DN","199,-","Xerox","6510V_DN","Alléén printen","LED-technologie","A4","2400 x 1200","28 ppm","28 ppm","None","48,3 cm x 47 cm x 34,7 cm","23,8 kg"
Inkjetprinters,"Canon PIXMA MG6850","87,99","Canon","0519C006AA","All-in-one","Inkjet","A4","4800 x 1200","15 ppm","9,7 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,4 kg"
Inkjetprinters,"HP DeskJet 3720 Wit/Blauw","69,-","HP","J9V93B","All-in-one","Inkjet","A4","None","8 ppm","5,5 ppm","None","40,3 cm x 17,7 cm x 14,1 cm","2,33 kg"
Laserprinters,"Xerox WorkCentre 6515DN","329,-","Xerox","6515V_DN","All-in-one","LED-technologie","A4","2400 x 1200","28 ppm","28 ppm","None","50,6 cm x 42 cm x 50 cm","36,2 kg"
Inkjetprinters,"HP ENVY 4520 All-in-One","69,99","HP","F0V63B","All-in-one","Inkjet","A4","4800 x 1200","9,5 ppm","6,8 ppm","0,064 GB","36,7 cm x 44,5 cm x 12,8 cm","5,41 kg"
Laserprinters,"Brother MFC-L2700DW","179,-","Brother","MFC-L2700DWH1","All-in-one","Laser","A4","2400 x 600","26 ppm","None","None","40,9 cm x 39,9 cm x 31,6 cm","11,4 kg"
Inkjetprinters,"Canon PIXMA MG2950S","54,99","Canon","9500B024AA","All-in-one","Inkjet","A4","None","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Laserprinters,"Canon i-SENSYS LBP7210CDN","299,-","Canon","6373B001","Alléén printen","Laser","A4","9600 x 600","20 ppm","20 ppm","None","41,4 cm x 49,9 cm x 32,8 cm","22,3 kg"
Inkjetprinters,"Epson SureColor SC-P600","589,-","Epson","C11CE21301","Alléén printen","Inkjet","A3+","5760 x 1440","6 ppm","6 ppm","None","61,6 cm x 36,9 cm x 22,8 cm","15 kg"
Laserprinters,"Xerox WorkCentre 6605DN","769,-","Xerox","6605V_DN","All-in-one","Laser","A4","600 dpi x 600 dpi","35 ppm","35 ppm","None","43 cm x 52,8 cm x 56 cm","32,5 kg"
Inkjetprinters,"Epson Expression Photo XP-960","219,-","Epson","C11CE82402","All-in-one","Inkjet","A3","5760 x 1440","8,5 ppm","8 ppm","None","47,9 cm x 35,6 cm x 14,8 cm","8,7 kg"
Laserprinters,"Brother HL-L5100DN","219,-","Brother","HL-L5100DN","Alléén printen","Laser","A4","1200 x 1200","40 ppm","None","None","38,8 cm x 37,3 cm x 25,5 cm","10,7 kg"
Laserprinters,"Samsung Xpress SL-C480FW","289,-","Samsung","SL-C480FW/SEE","All-in-one","Laser","A4","None","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Inkjetprinters,"Epson Expression Premium XP-540","75,99","Epson","C11CF51402","All-in-one","Inkjet","A4","5760 x 1440","9,5 ppm","9 ppm","None","39 cm x 34,1 cm x 13,8 cm","6,2 kg"
Inkjetprinters,"Epson Expression Photo XP-960","219,-","Epson","C11CE82402","All-in-one","Inkjet","A3","5760 x 1440","8,5 ppm","8 ppm","None","47,9 cm x 35,6 cm x 14,8 cm","8,7 kg"
Laserprinters,"Samsung Xpress SL-C480FW","289,-","Samsung","SL-C480FW/SEE","All-in-one","Laser","A4","None","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Laserprinters,"Brother DCP-L2560DW","179,-","Brother","DCP-L2560DW","All-in-one","Laser","A4","2400 x 600","30 ppm","None","None","40,9 cm x 39,9 cm x 26,8 cm","9,9 kg"
Inkjetprinters,"HP PageWide Pro 477dwt MFP (W2Z53B)","689,-","HP","W2Z53B","All-in-one","Inkjet","A4","1200 x 1200","40 ppm","40 ppm","0,768 GB","53 cm x 40,7 cm x 62,7 cm","27,25 kg"
